gender,age,membership_tier,province,customer_age_days,category,brand,product_rating,courier_name,courier_type,avg_delivery_days,damage_rate,promo_name,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,customer_tenure_months,order_month,order_dayofweek,is_weekend,age_group,logistics_risk,hist_order_count_30d,hist_return_count_30d,hist_return_rate_30d,hist_spend_sum_30d,hist_order_count_60d,hist_return_count_60d,hist_return_rate_60d,hist_spend_sum_60d,hist_order_count_90d,hist_return_count_90d,hist_return_rate_90d,hist_spend_sum_90d,hist_order_count_180d,hist_return_count_180d,hist_return_rate_180d,hist_spend_sum_180d,hist_order_count_365d,hist_return_count_365d,hist_return_rate_365d,hist_spend_sum_365d,discount_amount_ratio,category_payment,category_channel,province_payment,is_returned,dataset_split
Female,21,Bronze,Phuket,1144,Fashion,SilkTouch,3.5,EcoDelivery,Eco,5.0,0.05,New Year Mega Sale,Campaign,0.1,Shopee,Credit_Card,1,2500.0,0.05,0.1,0.15,375.0,2125.0,2,0,5,-1,0,0.0,21.333333333333332,1,2,0,20-30,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Fashion_Credit_Card,Fashion_Shopee,Phuket_Credit_Card,0,full_feature_frame
Female,66,Bronze,Songkhla,1892,Home_Appliance,PureAir,4.6,FastShip,Express,1.5,0.01,No Promotion,,0.0,TV_Show,COD,2,4500.0,0.05,0.0,0.05,450.0,8550.0,1,0,8,-1,0,0.0,46.266666666666666,1,2,0,>50,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Home_Appliance_COD,Home_Appliance_TV_Show,Songkhla_COD,1,full_feature_frame
Male,67,Silver,Khon Kaen,1019,Cosmetics,GlowUp,4.9,FastShip,Express,1.5,0.01,No Promotion,,0.0,Mobile_App,COD,1,450.0,0.1,0.0,0.1,45.0,405.0,2,0,8,-1,0,0.0,17.166666666666668,1,2,0,>50,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Cosmetics_COD,Cosmetics_Mobile_App,Khon Kaen_COD,0,full_feature_frame
Male,43,Bronze,Songkhla,1481,Home_Appliance,BlendIt,3.9,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,TikTok,COD,1,1100.0,0.05,0.0,0.05,55.0,1045.0,2,0,10,-1,0,0.0,32.56666666666667,1,2,0,40-50,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Home_Appliance_COD,Home_Appliance_TikTok,Songkhla_COD,0,full_feature_frame
Female,66,Bronze,Chiang Mai,2495,Home_Appliance,PureAir,4.6,SafeLogistics,Standard,3.0,0.02,New Year Mega Sale,Campaign,0.1,Mobile_App,Credit_Card,2,4500.0,0.05,0.1,0.15,1350.0,7650.0,3,0,13,-1,0,0.0,66.36666666666666,1,2,0,>50,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.15,Home_Appliance_Credit_Card,Home_Appliance_Mobile_App,Chiang Mai_Credit_Card,0,full_feature_frame
Female,58,Silver,Remote_Area,1629,Home_Appliance,PureAir,4.6,SafeLogistics,Standard,3.0,0.02,No Promotion,,0.0,TV_Show,Bank_Transfer,1,4500.0,0.1,0.0,0.1,450.0,4050.0,3,0,14,-1,0,0.0,37.5,1,2,0,>50,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Remote_Area_Bank_Transfer,0,full_feature_frame
Female,31,Silver,Chonburi,2181,Home_Appliance,CookEasy,4.3,SafeLogistics,Standard,3.0,0.02,New Year Mega Sale,Campaign,0.1,TV_Show,Bank_Transfer,2,1500.0,0.1,0.1,0.2,600.0,2400.0,3,0,16,-1,0,0.0,55.9,1,2,0,30-40,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.2,Home_Appliance_Bank_Transfer,Home_Appliance_TV_Show,Chonburi_Bank_Transfer,0,full_feature_frame
Female,26,Silver,Nonthaburi,1335,Home_Appliance,PureAir,4.6,SafeLogistics,Standard,3.0,0.02,New Year Mega Sale,Campaign,0.1,TikTok,Bank_Transfer,1,4500.0,0.1,0.1,0.2,900.0,3600.0,3,0,19,-1,0,0.0,27.7,1,2,0,20-30,0.02,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.2,Home_Appliance_Bank_Transfer,Home_Appliance_TikTok,Nonthaburi_Bank_Transfer,0,full_feature_frame
Male,54,Bronze,Nonthaburi,841,Home_Appliance,HomePro,4.1,FastShip,Express,1.5,0.01,No Promotion,,0.0,TV_Show,COD,2,2200.0,0.05,0.0,0.05,220.0,4180.0,3,0,21,-1,0,0.0,11.233333333333333,1,2,0,>50,0.01,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.05,Home_Appliance_COD,Home_Appliance_TV_Show,Nonthaburi_COD,0,full_feature_frame
Female,57,Platinum,Remote_Area,1430,Fashion,SilkTouch,3.5,EcoDelivery,Eco,5.0,0.05,No Promotion,,0.0,Shopee,COD,2,2500.0,0.2,0.0,0.2,1000.0,4000.0,1,0,22,-1,0,0.0,30.866666666666667,1,2,0,>50,0.05,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.2,Fashion_COD,Fashion_Shopee,Remote_Area_COD,0,full_feature_frame
