order_id,order_date,expected_delivery_date,delivery_date,customer_id,customer_name,customer_phone,gender,age,membership_tier,preferred_channel,province,registration_date,customer_age_days,product_id,product_name,category,brand,is_fragile,product_rating,supplier_id,supplier_name,supplier_contact,courier_id,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_id,promo_name,promo_type,promo_discount_rate,promo_start_date,promo_end_date,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,delivery_days,delay_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,return_id,return_date,return_reason,return_scenario,item_condition,return_status,refund_amount,score_id,risk_score,risk_tier,scored_at,shap_values,is_returned
LGS3ORD0050001,2026-02-01 00:00:00,2026-02-06 00:00:00,2026-02-08 00:00:00,C000494,Arthit Srisuk,0859605563,Female,65,Bronze,Lazada,Bangkok,2023-12-02,792,PRD000115,NovaTech Electronics Item 0115,Electronics,NovaTech,False,4.03,SUP001,NovaTech Supplier,02-429-5239,COUR03,EcoDelivery,Eco,5.0,0.0772,Bangkok Only,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,TV_Show,COD,1,8436.82,0.03,0.0,0.03,253.1,8183.72,5,7,2,0,0,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050001,0.5447,Medium,2026-02-01 00:00:00,"{'product': -0.17, 'history': 0.0, 'discount': 0.03}",0
LGS3ORD0050002,2026-02-01 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,C000295,Narin Thong-In,0881716369,Female,48,Gold,Lazada,Remote_Area,2023-01-13,1115,PRD000320,FitStyle Fashion Item 0320,Fashion,FitStyle,False,3.72,SUP035,FitStyle Supplier,02-786-4905,COUR02,SafeLogistics,Standard,3.0,0.0973,Nationwide,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,Lazada,COD,1,2097.52,0.08,0.05,0.13,272.68,1824.84,3,4,1,0,0,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050002,0.552,Medium,2026-02-01 00:00:00,"{'product': -0.48, 'history': 0.0, 'discount': 0.13}",0
LGS3ORD0050003,2026-02-01 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,C000848,Arthit Jantana,0862475763,Female,42,Bronze,TV,Nakhon Ratchasima,2022-08-15,1266,PRD000255,FreshLook Cosmetics Item 0255,Cosmetics,FreshLook,False,4.22,SUP035,FreshLook Supplier,02-217-6123,COUR02,SafeLogistics,Standard,3.0,0.0692,Nationwide,PROMO_010,Campaign 10%,Campaign,0.1,2025-01-01,2026-12-31,Lazada,PromptPay,1,1466.29,0.03,0.1,0.13,190.62,1275.67,3,4,1,0,0,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050003,0.3591,Low,2026-02-01 00:00:00,"{'product': 0.02, 'history': 0.0, 'discount': 0.13}",0
LGS3ORD0050004,2026-02-01 01:00:00,2026-02-02 01:00:00,2026-02-03 01:00:00,C000618,Somchai Thong-In,0824905050,Female,51,Silver,Web,Khon Kaen,2022-03-23,1411,PRD000033,MediCare Health Item 0033,Health,MediCare,False,3.83,SUP047,MediCare Supplier,02-632-9017,COUR01,FastShip,Express,1.6,0.0844,Nationwide,PROMO_010,Campaign 10%,Campaign,0.1,2025-01-01,2026-12-31,Lazada,COD,3,3490.8,0.05,0.1,0.15000000000000002,1570.86,8901.55,1,2,1,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050004,0.4579,Low,2026-02-01 01:00:00,"{'product': -0.37, 'history': 0.0, 'discount': 0.15}",0
LGS3ORD0050005,2026-02-01 01:00:00,2026-02-05 01:00:00,2026-02-05 01:00:00,C001082,Suda Sawasdee,0853607197,Male,49,Platinum,Web,Chonburi,2022-05-31,1342,PRD000188,CleanMate Home_Appliance Item 0188,Home_Appliance,CleanMate,True,4.0,SUP018,CleanMate Supplier,02-137-1802,COUR04,RegionalPost,Regional,4.2,0.0897,Regional,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,TV_Show,COD,1,10952.79,0.1,0.0,0.1,1095.28,9857.51,4,4,0,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050005,0.4589,Low,2026-02-01 01:00:00,"{'product': -0.2, 'history': 0.0, 'discount': 0.1}",0
LGS3ORD0050006,2026-02-01 01:00:00,2026-02-02 01:00:00,2026-02-02 01:00:00,C000182,Kanda Jantana,0871375922,Male,53,Bronze,Web,Khon Kaen,2022-04-28,1375,PRD000216,SunSafe Cosmetics Item 0216,Cosmetics,SunSafe,False,4.53,SUP042,SunSafe Supplier,02-322-6208,COUR01,FastShip,Express,1.6,0.0416,Nationwide,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,Lazada,Credit_Card,1,823.24,0.03,0.0,0.03,24.7,798.54,1,1,0,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050006,0.2052,Low,2026-02-01 01:00:00,"{'product': 0.33, 'history': 0.0, 'discount': 0.03}",0
LGS3ORD0050007,2026-02-01 01:00:00,2026-02-06 01:00:00,2026-02-07 01:00:00,C000991,Arthit Rattanakul,0873342784,Female,42,Bronze,TV,Nakhon Ratchasima,2021-12-11,1513,PRD000014,KitchenMax Kitchen Item 0014,Kitchen,KitchenMax,True,4.54,SUP049,KitchenMax Supplier,02-700-6875,COUR03,EcoDelivery,Eco,5.0,0.0384,Bangkok Only,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,TV_Show,Credit_Card,3,6099.6,0.03,0.05,0.08,1463.9,16834.9,5,6,1,0,1,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050007,0.2336,Low,2026-02-01 01:00:00,"{'product': 0.34, 'history': 0.0, 'discount': 0.08}",0
LGS3ORD0050008,2026-02-01 02:00:00,2026-02-06 02:00:00,2026-02-08 02:00:00,C000436,Malee Sawasdee,0827404558,Female,70,Bronze,Web,Phuket,2021-06-18,1689,PRD000119,CleanMate Home_Appliance Item 0119,Home_Appliance,CleanMate,True,4.24,SUP021,CleanMate Supplier,02-807-8518,COUR03,EcoDelivery,Eco,5.0,0.0556,Bangkok Only,PROMO_010,Campaign 10%,Campaign,0.1,2025-01-01,2026-12-31,Lazada,Credit_Card,1,7598.17,0.03,0.1,0.13,987.76,6610.4,5,7,2,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050008,0.4007,Low,2026-02-01 02:00:00,"{'product': 0.04, 'history': 0.0, 'discount': 0.13}",0
LGS3ORD0050009,2026-02-01 02:00:00,2026-02-02 02:00:00,2026-02-02 02:00:00,C001190,Malee Boonmee,0856396786,Female,35,Gold,Lazada,Remote_Area,2023-06-17,960,PRD000024,PureAir Home_Appliance Item 0024,Home_Appliance,PureAir,True,4.04,SUP002,PureAir Supplier,02-911-1347,COUR01,FastShip,Express,1.6,0.0731,Nationwide,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,CallCenter,PromptPay,1,7457.29,0.08,0.0,0.08,596.58,6860.71,1,1,0,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050009,0.3679,Low,2026-02-01 02:00:00,"{'product': -0.16, 'history': 0.0, 'discount': 0.08}",0
LGS3ORD0050010,2026-02-01 02:00:00,2026-02-04 02:00:00,2026-02-04 02:00:00,C000747,Somchai Thong-In,0893776107,Female,23,Gold,Web,Chiang Mai,2024-10-26,463,PRD000272,PureAir Home_Appliance Item 0272,Home_Appliance,PureAir,True,3.7,SUP004,PureAir Supplier,02-716-7045,COUR02,SafeLogistics,Standard,3.0,0.1065,Nationwide,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,TV_Show,Bank_Transfer,1,3072.12,0.08,0.05,0.13,399.38,2672.74,3,3,0,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS3SCR0050010,0.4307,Low,2026-02-01 02:00:00,"{'product': -0.5, 'history': 0.0, 'discount': 0.13}",0
