order_id,customer_id,order_date,gender,age,membership_tier,preferred_channel,province,customer_age_days,category,brand,is_fragile,product_rating,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_type,promo_discount_rate,channel_type,payment_method,quantity,unit_price,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,order_hour,order_month,order_dayofweek,is_weekend,age_group,customer_tenure_months,total_orders_before,total_returns_before,customer_return_ratio,days_since_last_return,days_since_last_order_pti,customer_avg_spend_before,customer_max_discount_before,customer_cod_rate_before,customer_high_discount_rate_before,customer_repurchase_rate_before,hist_spend_sum_7d,hist_order_count_7d,hist_return_count_7d,hist_return_rate_7d,hist_spend_sum_30d,hist_order_count_30d,hist_return_count_30d,hist_return_rate_30d,hist_spend_sum_60d,hist_order_count_60d,hist_return_count_60d,hist_return_rate_60d,hist_spend_sum_90d,hist_order_count_90d,hist_return_count_90d,hist_return_rate_90d,hist_spend_sum_180d,hist_order_count_180d,hist_return_count_180d,hist_return_rate_180d,hist_spend_sum_365d,hist_order_count_365d,hist_return_count_365d,hist_return_rate_365d,category_return_rate_pti,product_return_rate_pti,brand_return_rate_pti,courier_return_rate_pti,courier_type_return_rate_pti,payment_return_rate_pti,channel_return_rate_pti,product_quality_score,product_rating_gap,damage_rating_gap,fragile_damage_risk,logistics_risk_score,remote_logistics_risk,product_price_index,category_price_index,category_avg_rating,supplier_return_rate_pti,is_returned
LGS1ORD0000001,C001196,2025-01-01 00:00:00,Male,26,Bronze,TV,Bangkok,195,Electronics,ShieldCase,True,3.79,Eco,5.0,0.0925,Bangkok Only,Clearance,0.25,TV_Show,COD,2,6852.69,0.28,3837.51,9867.87,5,0,1,2,0,20-30,6.5,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.71,0.065675,0.0925,0.5925,0.0,1.5732960252546995,1.2628585545065543,3.7915069860279442,0.0,0
LGS1ORD0000002,C000770,2025-01-01 02:00:00,Male,45,Gold,Shopee,Nakhon Ratchasima,480,Fashion,UrbanWear,False,3.45,Regional,4.2,0.1167,Regional,Campaign,0.1,Web,Credit_Card,1,955.17,0.18,171.93,783.24,4,2,1,2,0,40-50,16.0,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4836,1.0499999999999998,0.12253499999999998,0.0,0.42000000000000004,0.0,0.5413471473941396,1.2418863516270875,3.602661737523105,0.0,0
LGS1ORD0000003,C000501,2025-01-01 04:00:00,Male,40,Silver,Shopee,Nakhon Ratchasima,558,Kitchen,ChefHome,False,3.83,Express,1.6,0.0926,Nationwide,Clearance,0.2,Web,Credit_Card,1,2275.17,0.25,568.79,1706.38,1,4,1,2,0,30-40,18.6,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9108,0.6699999999999999,0.06204199999999999,0.0,0.16,0.0,0.46535119236732203,1.2468357728170119,4.044645892351275,0.0,1
LGS1ORD0000004,C000672,2025-01-01 06:00:00,Male,47,Silver,CallCenter,Phuket,774,Home_Appliance,PureAir,False,4.16,Express,1.6,0.0568,Nationwide,Clearance,0.25,Web,Bank_Transfer,3,10350.57,0.3,9315.51,21736.19,1,6,1,2,0,40-50,25.8,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.2944,0.33999999999999986,0.019311999999999992,0.0,0.16,0.16,2.516167531582048,1.27131169623393,4.018836158192091,0.3333333333333333,0
LGS1ORD0000005,C001034,2025-01-01 08:00:00,Male,33,Platinum,CallCenter,Khon Kaen,1378,Home_Appliance,CleanMate,True,4.08,Regional,4.2,0.0782,Regional,Campaign,0.05,Web,COD,4,12555.1,0.15,7533.06,42687.35,4,8,1,2,0,30-40,45.93333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.3333333333333333,1.5455999999999999,0.41999999999999993,0.032844,0.0782,0.49820000000000003,0.0,4.941460489592654,1.27131169623393,4.018836158192091,0.25,0
LGS1ORD0000006,C001191,2025-01-01 10:00:00,Female,33,Gold,CallCenter,Chonburi,436,Health,VitaLife,True,4.31,Express,1.6,0.0525,Nationwide,Campaign,0.15,Lazada,Credit_Card,2,2969.86,0.2299999999999999,1366.14,4573.59,1,10,1,2,0,30-40,14.533333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2,0.2,0.2,0.5,0.5,0.5,0.2,1.1100000000000003,0.1900000000000004,0.00997500000000002,0.0525,0.2125,0.0,1.7333265115856016,1.2049124746443798,4.26582995951417,0.2,0
LGS1ORD0000007,C000089,2025-01-01 11:00:00,Male,39,Bronze,TV,Khon Kaen,1183,Home_Appliance,CleanMate,False,3.81,Regional,4.2,0.0808,Regional,Clearance,0.25,Web,COD,1,11452.38,0.28,3206.67,8245.71,4,11,1,2,0,30-40,39.43333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,1.8363999999999998,0.69,0.055751999999999996,0.0,0.42000000000000004,0.0,0.9545181458591138,1.27131169623393,4.018836158192091,0.16666666666666666,0
LGS1ORD0000008,C000996,2025-01-01 13:00:00,Male,42,Gold,Shopee,Nakhon Ratchasima,1382,Electronics,ShieldCase,False,3.97,Standard,3.0,0.0789,Nationwide,Campaign,0.05,TV_Show,Credit_Card,2,2887.99,0.13,750.88,5025.11,3,13,1,2,0,40-50,46.06666666666667,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.0,1.6611999999999998,0.5299999999999998,0.041816999999999986,0.0,0.3,0.0,0.8011846112147446,1.2628585545065543,3.7915069860279442,0.14285714285714285,0
LGS1ORD0000009,C000182,2025-01-01 15:00:00,Male,53,Bronze,Web,Khon Kaen,979,Electronics,ShieldCase,False,3.63,Standard,3.0,0.1079,Nationwide,Campaign,0.15,TV_Show,Credit_Card,2,5172.55,0.18,1862.12,8482.99,3,15,1,2,0,>50,32.63333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.0,2.2332,0.8700000000000001,0.09387300000000001,0.0,0.3,0.0,1.3524959742351046,1.2628585545065543,3.7915069860279442,0.125,0
LGS1ORD0000010,C000873,2025-01-01 17:00:00,Male,49,Gold,Lazada,Khon Kaen,514,Health,MediCare,False,4.37,Regional,4.2,0.049,Regional,No Promotion,0.0,Shopee,Credit_Card,2,3562.54,0.08,570.01,6555.07,4,17,1,2,0,40-50,17.133333333333333,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2,0.1111111111111111,1.0219999999999998,0.1299999999999999,0.006369999999999995,0.0,0.42000000000000004,0.0,2.4842796613381237,1.2049124746443798,4.26582995951417,0.1111111111111111,0
