order_id,order_date,expected_delivery_date,delivery_date,customer_id,customer_name,customer_phone,gender,age,membership_tier,preferred_channel,province,registration_date,customer_age_days,product_id,product_name,category,brand,is_fragile,product_rating,supplier_id,supplier_name,supplier_contact,courier_id,courier_name,courier_type,avg_delivery_days,damage_rate,coverage_region,promo_id,promo_name,promo_type,promo_discount_rate,promo_start_date,promo_end_date,channel_type,payment_method,quantity,unit_price,tier_discount_pct,campaign_discount_pct,total_discount_pct,discount_applied_amount,total_amount,delivery_time_expected_days,delivery_days,delay_days,is_repurchased_item,order_hour,days_since_last_order,hist_order_count,hist_return_rate,return_id,return_date,return_reason,return_scenario,item_condition,return_status,refund_amount,score_id,risk_score,risk_tier,scored_at,shap_values,is_returned
LGS1ORD0000001,2025-01-01 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,C001196,Anong Chaiyo,0896718608,Male,26,Bronze,TV,Bangkok,2024-06-20,195,PRD000262,ShieldCase Electronics Item 0262,Electronics,ShieldCase,True,3.79,SUP017,ShieldCase Supplier,02-732-7488,COUR03,EcoDelivery,Eco,5.0,0.0925,Bangkok Only,PROMO_025,Clearance 25%,Clearance,0.25,2025-01-01,2026-12-31,TV_Show,COD,2,6852.69,0.03,0.25,0.28,3837.51,9867.87,5,5,0,0,0,-1,0,0.0,LGS1RET0000001,2025-01-16 00:00:00,Not as Expected,Standard Return,Defective,Completed,8556.27,LGS1SCR0000001,0.5932,Medium,2025-01-01 00:00:00,"{'product': -0.41, 'history': 0.0, 'discount': 0.28}",1
LGS1ORD0000002,2025-01-01 02:00:00,2025-01-05 02:00:00,2025-01-05 02:00:00,C000770,Somchai Sawasdee,0853373848,Male,45,Gold,Shopee,Nakhon Ratchasima,2023-09-09,480,PRD000180,UrbanWear Fashion Item 0180,Fashion,UrbanWear,False,3.45,SUP047,UrbanWear Supplier,02-991-5987,COUR04,RegionalPost,Regional,4.2,0.1167,Regional,PROMO_010,Campaign 10%,Campaign,0.1,2025-01-01,2026-12-31,Web,Credit_Card,1,955.17,0.08,0.1,0.18,171.93,783.24,4,4,0,0,2,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000002,0.4703,Medium,2025-01-01 02:00:00,"{'product': -0.75, 'history': 0.0, 'discount': 0.18}",0
LGS1ORD0000003,2025-01-01 04:00:00,2025-01-02 04:00:00,2025-01-02 04:00:00,C000501,Suda Prasert,0811856594,Male,40,Silver,Shopee,Nakhon Ratchasima,2023-06-23,558,PRD000307,ChefHome Kitchen Item 0307,Kitchen,ChefHome,False,3.83,SUP009,ChefHome Supplier,02-401-4978,COUR01,FastShip,Express,1.6,0.0926,Nationwide,PROMO_020,Clearance 20%,Clearance,0.2,2025-01-01,2026-12-31,Web,Credit_Card,1,2275.17,0.05,0.2,0.25,568.79,1706.38,1,1,0,0,4,-1,0,0.0,LGS1RET0000002,2025-01-04 04:00:00,Not as Expected,Standard Return,Wrong Size,Completed,1682.98,LGS1SCR0000003,0.3986,Low,2025-01-01 04:00:00,"{'product': -0.37, 'history': 0.0, 'discount': 0.25}",1
LGS1ORD0000004,2025-01-01 06:00:00,2025-01-02 06:00:00,2025-01-02 06:00:00,C000672,Pim Srisuk,0896555028,Male,47,Silver,CallCenter,Phuket,2022-11-19,774,PRD000265,PureAir Home_Appliance Item 0265,Home_Appliance,PureAir,False,4.16,SUP050,PureAir Supplier,02-560-9062,COUR01,FastShip,Express,1.6,0.0568,Nationwide,PROMO_025,Clearance 25%,Clearance,0.25,2025-01-01,2026-12-31,Web,Bank_Transfer,3,10350.57,0.05,0.25,0.3,9315.51,21736.19,1,1,0,0,6,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000004,0.4037,Low,2025-01-01 06:00:00,"{'product': -0.04, 'history': 0.0, 'discount': 0.3}",0
LGS1ORD0000005,2025-01-01 08:00:00,2025-01-05 08:00:00,2025-01-05 08:00:00,C001034,Suda Rattanakul,0824712517,Male,33,Platinum,CallCenter,Khon Kaen,2021-03-25,1378,PRD000046,CleanMate Home_Appliance Item 0046,Home_Appliance,CleanMate,True,4.08,SUP053,CleanMate Supplier,02-352-7541,COUR04,RegionalPost,Regional,4.2,0.0782,Regional,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,Web,COD,4,12555.1,0.1,0.05,0.15000000000000002,7533.06,42687.35,4,4,0,0,8,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000005,0.4559,Low,2025-01-01 08:00:00,"{'product': -0.12, 'history': 0.0, 'discount': 0.15}",0
LGS1ORD0000006,2025-01-01 10:00:00,2025-01-02 10:00:00,2025-01-03 10:00:00,C001191,Narin Jantana,0841407861,Female,33,Gold,CallCenter,Chonburi,2023-10-23,436,PRD000357,VitaLife Health Item 0357,Health,VitaLife,True,4.31,SUP032,VitaLife Supplier,02-490-2248,COUR01,FastShip,Express,1.6,0.0525,Nationwide,PROMO_015,Campaign 15%,Campaign,0.15,2025-01-01,2026-12-31,Lazada,Credit_Card,2,2969.86,0.08,0.15,0.22999999999999998,1366.14,4573.59,1,2,1,0,10,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000006,0.3201,Low,2025-01-01 10:00:00,"{'product': 0.11, 'history': 0.0, 'discount': 0.23}",0
LGS1ORD0000007,2025-01-01 11:00:00,2025-01-05 11:00:00,2025-01-06 11:00:00,C000089,Narin Rattanakul,0842113338,Male,39,Bronze,TV,Khon Kaen,2021-10-06,1183,PRD000233,CleanMate Home_Appliance Item 0233,Home_Appliance,CleanMate,False,3.81,SUP046,CleanMate Supplier,02-475-8765,COUR04,RegionalPost,Regional,4.2,0.0808,Regional,PROMO_025,Clearance 25%,Clearance,0.25,2025-01-01,2026-12-31,Web,COD,1,11452.38,0.03,0.25,0.28,3206.67,8245.71,4,5,1,0,11,-1,0,0.0,LGS1RET0000003,2025-01-17 11:00:00,Late Delivery,Standard Return,Defective,Completed,7025.15,LGS1SCR0000007,0.5755,Medium,2025-01-01 11:00:00,"{'product': -0.39, 'history': 0.0, 'discount': 0.28}",1
LGS1ORD0000008,2025-01-01 13:00:00,2025-01-04 13:00:00,2025-01-05 13:00:00,C000996,Malee Thong-In,0822738136,Male,42,Gold,Shopee,Nakhon Ratchasima,2021-03-21,1382,PRD000071,ShieldCase Electronics Item 0071,Electronics,ShieldCase,False,3.97,SUP011,ShieldCase Supplier,02-378-8953,COUR02,SafeLogistics,Standard,3.0,0.0789,Nationwide,PROMO_005,Campaign 5%,Campaign,0.05,2025-01-01,2026-12-31,TV_Show,Credit_Card,2,2887.99,0.08,0.05,0.13,750.88,5025.11,3,4,1,0,13,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000008,0.3361,Low,2025-01-01 13:00:00,"{'product': -0.23, 'history': 0.0, 'discount': 0.13}",0
LGS1ORD0000009,2025-01-01 15:00:00,2025-01-04 15:00:00,2025-01-06 15:00:00,C000182,Kanda Jantana,0871375922,Male,53,Bronze,Web,Khon Kaen,2022-04-28,979,PRD000211,ShieldCase Electronics Item 0211,Electronics,ShieldCase,False,3.63,SUP014,ShieldCase Supplier,02-591-5118,COUR02,SafeLogistics,Standard,3.0,0.1079,Nationwide,PROMO_015,Campaign 15%,Campaign,0.15,2025-01-01,2026-12-31,TV_Show,Credit_Card,2,5172.55,0.03,0.15,0.18,1862.12,8482.99,3,5,2,0,15,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000009,0.5524,Medium,2025-01-01 15:00:00,"{'product': -0.57, 'history': 0.0, 'discount': 0.18}",0
LGS1ORD0000010,2025-01-01 17:00:00,2025-01-05 17:00:00,2025-01-05 17:00:00,C000873,Pim Jantana,0841342539,Male,49,Gold,Lazada,Khon Kaen,2023-08-06,514,PRD000017,MediCare Health Item 0017,Health,MediCare,False,4.37,SUP004,MediCare Supplier,02-623-5136,COUR04,RegionalPost,Regional,4.2,0.049,Regional,PROMO_NONE,No Promotion,No Promotion,0.0,2025-01-01,2026-12-31,Shopee,Credit_Card,2,3562.54,0.08,0.0,0.08,570.01,6555.07,4,4,0,0,17,-1,0,0.0,NO_RETURN,Not Returned,Not Returned,Not Returned,Not Returned,Not Returned,0.0,LGS1SCR0000010,0.2337,Low,2025-01-01 17:00:00,"{'product': 0.17, 'history': 0.0, 'discount': 0.08}",0
